id_dept,id_commune,nom_commune,nb_inscrits,nb_exprimes,nb_abs,nb_votants,nb_blancs_nuls,candidat_id,cand_voix,cand_orientation,années,type_election
35,1,Acigné,4694,3055,1601,3093,38,0,21.0,Extrême Gauche,2012,législative
35,1,Acigné,4694,3055,1601,3093,38,1,21.0,Extrême Gauche,2012,législative
35,1,Acigné,4694,3055,1601,3093,38,2,190.0,Gauche,2012,législative
35,1,Acigné,4694,3055,1601,3093,38,3,1569.0,Gauche,2012,législative
35,1,Acigné,4694,3055,1601,3093,38,4,292.0,Écologie,2012,législative
35,1,Acigné,4694,3055,1601,3093,38,5,21.0,Régionalisme,2012,législative
35,1,Acigné,4694,3055,1601,3093,38,6,806.0,Droite,2012,législative
35,1,Acigné,4694,3055,1601,3093,38,7,135.0,Extrême Droite,2012,législative
35,2,Amanlis,1196,732,450,746,14,0,4.0,Extrême Gauche,2012,législative
35,2,Amanlis,1196,732,450,746,14,1,46.0,Gauche,2012,législative
35,2,Amanlis,1196,732,450,746,14,2,273.0,Gauche,2012,législative
35,2,Amanlis,1196,732,450,746,14,3,51.0,Écologie,2012,législative
35,2,Amanlis,1196,732,450,746,14,4,64.0,Centre,2012,législative
35,2,Amanlis,1196,732,450,746,14,5,223.0,Droite,2012,législative
35,2,Amanlis,1196,732,450,746,14,6,6.0,Droite,2012,législative
35,2,Amanlis,1196,732,450,746,14,7,3.0,Droite,2012,législative
35,2,Amanlis,1196,732,450,746,14,8,62.0,Extrême Droite,2012,législative
35,3,Andouillé-Neuville,514,303,206,308,5,0,2.0,Extrême Gauche,2012,législative
35,3,Andouillé-Neuville,514,303,206,308,5,1,2.0,Extrême Gauche,2012,législative
35,3,Andouillé-Neuville,514,303,206,308,5,2,7.0,Gauche,2012,législative
35,3,Andouillé-Neuville,514,303,206,308,5,3,95.0,Gauche,2012,législative
35,3,Andouillé-Neuville,514,303,206,308,5,4,62.0,Écologie,2012,législative
35,3,Andouillé-Neuville,514,303,206,308,5,5,1.0,Divers,2012,législative
35,3,Andouillé-Neuville,514,303,206,308,5,6,105.0,Droite,2012,législative
