id_dept,id_commune,nb_inscrits,nb_abs,nb_votants,nb_blancs_nuls,candidat_id,nb_exprimes,cand_voix,cand_orientation
35,32,2815,1382,1433,33,0,1400,13.0,Extrême Gauche
35,32,2815,1382,1433,33,1,1400,11.0,Gauche
35,32,2815,1382,1433,33,2,1400,178.0,Gauche
35,32,2815,1382,1433,33,3,1400,187.0,Gauche
35,32,2815,1382,1433,33,4,1400,5.0,Gauche
35,32,2815,1382,1433,33,5,1400,12.0,Écologie
35,32,2815,1382,1433,33,6,1400,73.0,Écologie
35,32,2815,1382,1433,33,7,1400,4.0,Écologie
35,32,2815,1382,1433,33,8,1400,5.0,Écologie
35,32,2815,1382,1433,33,9,1400,20.0,Divers
35,32,2815,1382,1433,33,10,1400,0.0,Divers
35,32,2815,1382,1433,33,11,1400,16.0,Divers
35,32,2815,1382,1433,33,12,1400,8.0,Régionalisme
35,32,2815,1382,1433,33,13,1400,510.0,Centre
35,32,2815,1382,1433,33,14,1400,218.0,Droite
35,32,2815,1382,1433,33,15,1400,16.0,Droite
35,32,2815,1382,1433,33,16,1400,124.0,Extrême Droite
35,47,12516,5769,6747,126,0,6621,38.0,Extrême Gauche
35,47,12516,5769,6747,126,1,6621,61.0,Gauche
35,47,12516,5769,6747,126,2,6621,701.0,Gauche
35,47,12516,5769,6747,126,3,6621,720.0,Gauche
35,47,12516,5769,6747,126,4,6621,63.0,Gauche
35,47,12516,5769,6747,126,5,6621,70.0,Écologie
35,47,12516,5769,6747,126,6,6621,286.0,Écologie
35,47,12516,5769,6747,126,7,6621,53.0,Écologie
35,47,12516,5769,6747,126,8,6621,23.0,Écologie
35,47,12516,5769,6747,126,9,6621,99.0,Divers
35,47,12516,5769,6747,126,10,6621,0.0,Divers
35,47,12516,5769,6747,126,11,6621,61.0,Divers
35,47,12516,5769,6747,126,12,6621,45.0,Régionalisme
35,47,12516,5769,6747,126,13,6621,2682.0,Centre
35,47,12516,5769,6747,126,14,6621,1118.0,Droite
35,47,12516,5769,6747,126,15,6621,142.0,Droite
35,47,12516,5769,6747,126,16,6621,459.0,Extrême Droite
35,55,7305,3091,4214,56,0,4158,13.0,Extrême Gauche
35,55,7305,3091,4214,56,1,4158,37.0,Gauche
35,55,7305,3091,4214,56,2,4158,451.0,Gauche
35,55,7305,3091,4214,56,3,4158,574.0,Gauche
35,55,7305,3091,4214,56,4,4158,21.0,Gauche
35,55,7305,3091,4214,56,5,4158,40.0,Écologie
35,55,7305,3091,4214,56,6,4158,178.0,Écologie
35,55,7305,3091,4214,56,7,4158,9.0,Écologie
35,55,7305,3091,4214,56,8,4158,27.0,Écologie
35,55,7305,3091,4214,56,9,4158,58.0,Divers
35,55,7305,3091,4214,56,10,4158,0.0,Divers
35,55,7305,3091,4214,56,11,4158,20.0,Divers
35,55,7305,3091,4214,56,12,4158,12.0,Régionalisme
35,55,7305,3091,4214,56,13,4158,1279.0,Centre
35,55,7305,3091,4214,56,14,4158,1216.0,Droite
35,55,7305,3091,4214,56,15,4158,28.0,Droite
35,55,7305,3091,4214,56,16,4158,195.0,Extrême Droite
35,66,5814,2679,3135,68,0,3067,25.0,Extrême Gauche
35,66,5814,2679,3135,68,1,3067,38.0,Gauche
35,66,5814,2679,3135,68,2,3067,320.0,Gauche
35,66,5814,2679,3135,68,3,3067,436.0,Gauche
35,66,5814,2679,3135,68,4,3067,20.0,Gauche
35,66,5814,2679,3135,68,5,3067,29.0,Écologie
35,66,5814,2679,3135,68,6,3067,159.0,Écologie
35,66,5814,2679,3135,68,7,3067,16.0,Écologie
35,66,5814,2679,3135,68,8,3067,15.0,Écologie
35,66,5814,2679,3135,68,9,3067,42.0,Divers
35,66,5814,2679,3135,68,10,3067,0.0,Divers
35,66,5814,2679,3135,68,11,3067,37.0,Divers
35,66,5814,2679,3135,68,12,3067,23.0,Régionalisme
35,66,5814,2679,3135,68,13,3067,1160.0,Centre
35,66,5814,2679,3135,68,14,3067,497.0,Droite
35,66,5814,2679,3135,68,15,3067,33.0,Droite
35,66,5814,2679,3135,68,16,3067,217.0,Extrême Droite
35,206,4934,2160,2774,51,0,2723,10.0,Extrême Gauche
35,206,4934,2160,2774,51,1,2723,40.0,Gauche
35,206,4934,2160,2774,51,2,2723,335.0,Gauche
