id_fait,code_commune,libelle_commune,population,densite,est_rennes_metro,annee,periode,type_scrutin,tour,inscrits,tx_abstention,tx_participation,pct_drt,pct_gch,pct_ctr,pct_exg,pct_exd,med_niveau_vie,tx_pauvrete,gini,ratio_d9_d1,taux_delinq_mille,nb_assoc_pour_1000,target_bloc,target_bloc_num
2323,35001,Acigné,6888,233.00,t,2002,avant_2010,PRESIDENTIELLE,2,4074,14.90,85.10,93.51,0.00,0.00,0.00,6.49,,,,,,,DRT,0
2324,35001,Acigné,6888,233.00,t,2007,avant_2010,PRESIDENTIELLE,1,4357,8.93,91.07,23.90,35.23,26.45,6.15,4.65,,,,,,,GCH,1
2325,35001,Acigné,6888,233.00,t,2012,2010_2020,PRESIDENTIELLE,1,4672,11.13,88.87,21.22,39.10,13.41,13.19,8.95,,,,,,,GCH,1
2326,35001,Acigné,6888,233.00,t,2017,2010_2020,PRESIDENTIELLE,1,5041,11.78,88.22,15.66,12.65,36.89,21.34,13.27,,,,,,,CTR,2
2327,35001,Acigné,6888,233.00,t,2017,2010_2020,PRESIDENTIELLE,2,5041,16.01,83.99,0.00,0.00,85.64,0.00,14.36,,,,,,,CTR,2
2328,35001,Acigné,6888,233.00,t,2022,post_2020,PRESIDENTIELLE,1,5378,18.61,81.39,4.17,14.53,38.06,27.47,15.76,,,,,,,CTR,2
2329,35001,Acigné,6888,233.00,t,2022,post_2020,PRESIDENTIELLE,2,5381,18.81,81.19,0.00,0.00,80.82,0.00,19.18,,,,,,,CTR,2
2330,35002,Amanlis,,,f,2002,avant_2010,PRESIDENTIELLE,2,1088,14.25,85.75,88.79,0.00,0.00,0.00,11.21,,,,,,,DRT,0
2331,35002,Amanlis,,,f,2007,avant_2010,PRESIDENTIELLE,1,1158,8.46,91.54,30.05,22.58,27.27,7.37,8.52,,,,,,,DRT,0
2332,35002,Amanlis,,,f,2012,2010_2020,PRESIDENTIELLE,1,1191,12.43,87.57,26.71,26.61,15.69,11.99,15.79,,,,,,,DRT,0
2333,35002,Amanlis,,,f,2017,2010_2020,PRESIDENTIELLE,1,1310,11.15,88.85,16.40,9.70,29.89,23.10,20.46,,,,,,,CTR,2
2334,35002,Amanlis,,,f,2017,2010_2020,PRESIDENTIELLE,2,1310,18.02,81.98,0.00,0.00,75.89,0.00,24.11,,,,,,,CTR,2
2335,35002,Amanlis,,,f,2022,post_2020,PRESIDENTIELLE,1,1350,17.56,82.44,3.96,9.75,35.79,22.72,27.78,,,,,,,CTR,2
2336,35002,Amanlis,,,f,2022,post_2020,PRESIDENTIELLE,2,1353,19.51,80.49,0.00,0.00,68.22,0.00,31.78,,,,,,,CTR,2
2337,35003,Andouillé-Neuville,,,f,2002,avant_2010,PRESIDENTIELLE,2,347,12.68,87.32,93.45,0.00,0.00,0.00,6.55,,,,,,,DRT,0
2338,35003,Andouillé-Neuville,,,f,2007,avant_2010,PRESIDENTIELLE,1,462,12.12,87.88,30.10,24.13,21.39,13.68,6.22,,,,,,,DRT,0
2339,35003,Andouillé-Neuville,,,f,2012,2010_2020,PRESIDENTIELLE,1,515,13.59,86.41,27.13,28.74,13.33,13.56,15.17,,,,,,,GCH,1
2340,35003,Andouillé-Neuville,,,f,2017,2010_2020,PRESIDENTIELLE,1,591,13.03,86.97,17.17,8.18,28.34,21.36,24.95,,,,,,,CTR,2
