code_commune,libelle_commune,population,densite,med_niveau_vie,tx_pauvrete,gini,taux_delinq_mille,nb_assoc_pour_1000,bloc_historique,nb_elections_renseignees
35001,Acigné,6888,233.00,25850.00,,0.229,2.842,19.53,CTR,5
35014,Bais,,,22050.00,,0.212,0.985,19.51,CTR,5
35023,Bédée,,,24780.00,,0.191,2.261,17.72,CTR,5
35025,Billé,,,22790.00,,,0.000,15.41,CTR,5
35030,Bosse-de-Bretagne,,,22800.00,,,0.000,21.71,CTR,5
35033,Bourg-des-Comptes,,,24440.00,,0.211,1.723,23.02,CTR,5
35040,Breteil,,,23600.00,,0.190,2.153,19.30,CTR,5
35044,Broualan,,,20490.00,,,,12.17,CTR,5
35051,Cesson-Sévigné,17716,551.00,29450.00,,0.276,,32.92,CTR,5
35058,la Chapelle-Chaussée,1300,88.00,23890.00,,,,23.09,CTR,5
35060,Chapelle du Lou du Lac,,,23310.00,,,,19.29,CTR,5
35065,la Chapelle-Thouarault,2252,295.00,23720.00,,0.198,,18.09,CTR,5
35067,Chasné-sur-Illet,,,26210.00,,,,20.56,CTR,5
35068,Châteaubourg,,,24830.00,,0.204,,21.14,CTR,5
35069,Châteaugiron,,,26900.00,,0.215,,15.34,CTR,5
35070,Châteauneuf-d'Ille-et-Vilaine,,,22380.00,,,,16.08,CTR,5
35077,Chelun,,,20640.00,,,,39.55,DRT,5
35095,Dol-de-Bretagne,,,21700.00,,0.375,,28.52,CTR,5
35096,Domagné,,,23760.00,,0.192,,24.60,CTR,5
35111,Ferré,,,21070.00,,,,34.39,CTR,5
35131,l'Hermitage,4692,687.00,24040.00,,0.212,,13.67,CTR,5
35134,Iffs,,,24430.00,,,,25.55,DRT,5
35139,Laillé,5131,160.00,26950.00,,0.217,,21.73,CTR,5
35144,Langan,1075,138.00,22890.00,,,,22.02,CTR,5
35162,Louvigné-du-Désert,,,20580.00,,0.203,,23.87,DRT,5
35179,Miniac-Morvan,,,22330.00,,0.195,,16.67,CTR,5
35193,Montreuil-le-Gast,,,26530.00,,0.197,,24.41,CTR,5
35194,Montreuil-sous-Pérouse,,,25420.00,,,,36.50,CTR,5
35197,Mouazé,,,25970.00,,,,19.68,CTR,5
35200,Moutiers,,,22110.00,,,,19.89,DRT,5
35206,Noyal-Châtillon-sur-Seiche,7631,288.00,24960.00,,0.234,,18.76,CTR,5
35218,Petit-Fougeray,,,24160.00,,,,13.54,CTR,5
35226,Pleugueneuc,,,21900.00,,0.197,,19.39,CTR,5
35230,Poilley,,,21970.00,,,,18.42,DRT,5
35233,Québriac,,,24080.00,,,,31.45,CTR,5
35236,Redon,,,21610.00,,0.263,,46.27,CTR,5
35238,Rennes,225081,4467.00,22770.00,,0.327,4.684,37.51,CTR,5
35268,Saint-Ganton,,,21220.00,,,,45.89,EXD,5
35277,Saint-Gonlay,,,22210.00,,,,34.12,CTR,5
35281,Saint-Jacques-de-la-Lande,13656,1154.00,21730.00,,0.235,,25.45,CTR,5
