annee,type_scrutin,tour,bloc_dominant,nb_communes_gagnees,moy_pct_drt,moy_pct_gch,moy_pct_ctr,moy_pct_exg,moy_pct_exd,moy_abstention
2002,PRESIDENTIELLE,2,DRT,40,89.24,0.00,0.00,0.00,10.76,15.55
2007,PRESIDENTIELLE,1,CTR,1,28.18,26.41,28.38,6.30,6.91,9.11
2007,PRESIDENTIELLE,1,DRT,21,34.10,20.86,24.06,7.55,10.66,11.53
2007,PRESIDENTIELLE,1,GCH,18,23.94,31.39,24.68,8.42,8.23,9.97
2012,PRESIDENTIELLE,1,DRT,12,34.11,20.23,14.88,9.86,18.46,13.33
2012,PRESIDENTIELLE,1,EXD,1,21.35,22.10,7.49,14.98,30.34,18.64
2012,PRESIDENTIELLE,1,GCH,27,22.41,33.82,12.09,13.07,15.07,13.09
2017,PRESIDENTIELLE,1,CTR,26,15.99,9.36,32.34,22.85,19.26,13.62
2017,PRESIDENTIELLE,1,DRT,4,28.63,5.60,24.42,15.47,25.86,16.30
2017,PRESIDENTIELLE,1,EXD,10,18.07,7.39,23.35,19.74,31.28,13.27
2017,PRESIDENTIELLE,2,CTR,40,0.00,0.00,73.64,0.00,26.36,17.87
2022,PRESIDENTIELLE,1,CTR,32,4.38,9.09,37.75,23.02,25.76,18.85
2022,PRESIDENTIELLE,1,EXD,5,5.40,5.72,30.14,21.17,37.56,20.94
2022,PRESIDENTIELLE,1,EXG,3,4.85,10.15,30.17,36.78,18.06,23.03
2022,PRESIDENTIELLE,2,CTR,38,0.00,0.00,67.08,0.00,32.92,19.61
2022,PRESIDENTIELLE,2,EXD,2,0.00,0.00,48.59,0.00,51.42,23.26
