id_dept,id_commune,nb_inscrits,nb_abs,nb_votants,nb_blancs_nuls,candidat_id,nb_exprimes,cand_voix,cand_orientation
35,1,4074,942,3132,96,0,3036,21,Extrême Droite
35,1,4074,942,3132,96,1,3036,97,Centre
35,1,4074,942,3132,96,2,3036,14,Extrême Gauche
35,1,4074,942,3132,96,3,3036,259,Centre
35,1,4074,942,3132,96,4,3036,575,Droite
35,1,4074,942,3132,96,5,3036,209,Extrême Droite
35,1,4074,942,3132,96,6,3036,72,Gauche
35,1,4074,942,3132,96,7,3036,70,Droite
35,1,4074,942,3132,96,8,3036,345,Écologie
35,1,4074,942,3132,96,9,3036,631,Gauche
35,1,4074,942,3132,96,10,3036,37,Droite
35,1,4074,942,3132,96,11,3036,50,Gauche
35,1,4074,942,3132,96,12,3036,145,Gauche
35,1,4074,942,3132,96,13,3036,110,Droite
35,1,4074,942,3132,96,14,3036,232,Extrême Gauche
35,1,4074,942,3132,96,15,3036,169,Extrême Gauche
35,2,1088,236,852,31,0,821,10,Extrême Droite
35,2,1088,236,852,31,1,821,17,Centre
35,2,1088,236,852,31,2,821,8,Extrême Gauche
35,2,1088,236,852,31,3,821,65,Centre
35,2,1088,236,852,31,4,821,185,Droite
35,2,1088,236,852,31,5,821,74,Extrême Droite
35,2,1088,236,852,31,6,821,15,Gauche
35,2,1088,236,852,31,7,821,37,Droite
35,2,1088,236,852,31,8,821,47,Écologie
35,2,1088,236,852,31,9,821,119,Gauche
35,2,1088,236,852,31,10,821,21,Droite
35,2,1088,236,852,31,11,821,12,Gauche
35,2,1088,236,852,31,12,821,29,Gauche
35,2,1088,236,852,31,13,821,47,Droite
35,2,1088,236,852,31,14,821,85,Extrême Gauche
35,2,1088,236,852,31,15,821,50,Extrême Gauche
35,3,347,81,266,9,0,257,4,Extrême Droite
35,3,347,81,266,9,1,257,8,Centre
35,3,347,81,266,9,2,257,2,Extrême Gauche
35,3,347,81,266,9,3,257,19,Centre
35,3,347,81,266,9,4,257,72,Droite
35,3,347,81,266,9,5,257,17,Extrême Droite
35,3,347,81,266,9,6,257,6,Gauche
35,3,347,81,266,9,7,257,34,Droite
35,3,347,81,266,9,8,257,9,Écologie
35,3,347,81,266,9,9,257,25,Gauche
35,3,347,81,266,9,10,257,4,Droite
35,3,347,81,266,9,11,257,8,Gauche
35,3,347,81,266,9,12,257,8,Gauche
35,3,347,81,266,9,13,257,4,Droite
35,3,347,81,266,9,14,257,22,Extrême Gauche
35,3,347,81,266,9,15,257,15,Extrême Gauche
35,4,1045,290,755,25,0,730,15,Extrême Droite
35,4,1045,290,755,25,1,730,14,Centre
35,4,1045,290,755,25,2,730,5,Extrême Gauche
35,4,1045,290,755,25,3,730,47,Centre
35,4,1045,290,755,25,4,730,175,Droite
35,4,1045,290,755,25,5,730,93,Extrême Droite
35,4,1045,290,755,25,6,730,16,Gauche
35,4,1045,290,755,25,7,730,64,Droite
35,4,1045,290,755,25,8,730,29,Écologie
35,4,1045,290,755,25,9,730,126,Gauche
35,4,1045,290,755,25,10,730,15,Droite
35,4,1045,290,755,25,11,730,14,Gauche
35,4,1045,290,755,25,12,730,18,Gauche
35,4,1045,290,755,25,13,730,40,Droite
35,4,1045,290,755,25,14,730,34,Extrême Gauche
35,4,1045,290,755,25,15,730,25,Extrême Gauche
35,5,181,43,138,2,0,136,3,Extrême Droite
35,5,181,43,138,2,1,136,1,Centre
35,5,181,43,138,2,2,136,0,Extrême Gauche
35,5,181,43,138,2,3,136,19,Centre
35,5,181,43,138,2,4,136,32,Droite
35,5,181,43,138,2,5,136,14,Extrême Droite
35,5,181,43,138,2,6,136,4,Gauche
35,5,181,43,138,2,7,136,7,Droite
35,5,181,43,138,2,8,136,4,Écologie
35,5,181,43,138,2,9,136,15,Gauche
35,5,181,43,138,2,10,136,1,Droite
35,5,181,43,138,2,11,136,2,Gauche
35,5,181,43,138,2,12,136,3,Gauche
35,5,181,43,138,2,13,136,11,Droite
35,5,181,43,138,2,14,136,15,Extrême Gauche
35,5,181,43,138,2,15,136,5,Extrême Gauche
35,6,2850,602,2248,114,0,2134,30,Extrême Droite
35,6,2850,602,2248,114,1,2134,43,Centre
35,6,2850,602,2248,114,2,2134,8,Extrême Gauche
35,6,2850,602,2248,114,3,2134,237,Centre
35,6,2850,602,2248,114,4,2134,619,Droite
35,6,2850,602,2248,114,5,2134,181,Extrême Droite
35,6,2850,602,2248,114,6,2134,36,Gauche
35,6,2850,602,2248,114,7,2134,77,Droite
35,6,2850,602,2248,114,8,2134,157,Écologie
35,6,2850,602,2248,114,9,2134,254,Gauche
35,6,2850,602,2248,114,10,2134,41,Droite
35,6,2850,602,2248,114,11,2134,14,Gauche
35,6,2850,602,2248,114,12,2134,57,Gauche
35,6,2850,602,2248,114,13,2134,109,Droite
35,6,2850,602,2248,114,14,2134,172,Extrême Gauche
35,6,2850,602,2248,114,15,2134,99,Extrême Gauche
35,7,192,27,165,7,0,158,6,Extrême Droite
35,7,192,27,165,7,1,158,3,Centre
35,7,192,27,165,7,2,158,0,Extrême Gauche
35,7,192,27,165,7,3,158,6,Centre
