commune;categorie_principale;nb_associations
ACIGNE;Anciens combattants;1
ACIGNE;Autres;1
ACIGNE;Citoyenneté;3
ACIGNE;Culture;7
ACIGNE;Environnement;3
ACIGNE;Logement;1
ACIGNE;Loisirs;1
ACIGNE;Non renseigné;2
ACIGNE;Patrimoine / Mémoire;2
ACIGNE;Religion;2
ACIGNE;Santé;4
ACIGNE;Social / Solidarité;10
ACIGNE;Sport;11
ACIGNE;Économie / Entreprises;1
ACIGNE;Éducation;1
ACIGNE;Éducation / Formation;1
BECHEREL;Autres;1
BECHEREL;Culture;1
BECHEREL;Défense des droits;1
BECHEREL;Environnement;3
BECHEREL;Patrimoine / Mémoire;1
BECHEREL;Religion;3
BECHEREL;Social / Solidarité;2
BECHEREL;Sport;8
BECHEREL;Éducation / Formation;2
BETTON;Anciens combattants;3
BETTON;Autres;2
BETTON;Citoyenneté;1
BETTON;Culture;9
BETTON;Défense des droits;2
BETTON;Environnement;6
BETTON;Loisirs;6
BETTON;Patrimoine / Mémoire;4
BETTON;Religion;2
BETTON;Santé;2
BETTON;Social / Solidarité;20
BETTON;Sport;26
BETTON;Économie / Entreprises;1
BETTON;Éducation;2
BETTON;Éducation / Formation;2
BOURGBARRE;Autres;1
BOURGBARRE;Culture;1
BOURGBARRE;Logement;1
BOURGBARRE;Patrimoine / Mémoire;1
BOURGBARRE;Santé;1
BOURGBARRE;Social / Solidarité;9
BOURGBARRE;Sport;6
BOURGBARRE;Économie / Entreprises;2
BOURGBARRE;Éducation / Formation;1
BRECE;Culture;2
BRECE;Environnement;2
BRECE;Loisirs;1
BRECE;Patrimoine / Mémoire;1
BRECE;Religion;1
BRECE;Social / Solidarité;2
BRECE;Sport;4
BRUZ;Agriculture;2
BRUZ;Anciens combattants;3
BRUZ;Autres;4
BRUZ;Citoyenneté;3
BRUZ;Culture;15
BRUZ;Environnement;10
BRUZ;International;1
BRUZ;Logement;2
BRUZ;Loisirs;31
BRUZ;Patrimoine / Mémoire;7
BRUZ;Religion;2
BRUZ;Santé;4
BRUZ;Social / Solidarité;34
BRUZ;Sport;33
BRUZ;Sécurité;1
BRUZ;Économie / Entreprises;4
BRUZ;Éducation;2
BRUZ;Éducation / Formation;1
CESSON-SEVIGNE;Agriculture;4
CESSON-SEVIGNE;Anciens combattants;2
CESSON-SEVIGNE;Autres;5
CESSON-SEVIGNE;Citoyenneté;4
CESSON-SEVIGNE;Culture;9
CESSON-SEVIGNE;Défense des droits;13
CESSON-SEVIGNE;Environnement;17
CESSON-SEVIGNE;International;2
CESSON-SEVIGNE;Logement;1
CESSON-SEVIGNE;Loisirs;24
CESSON-SEVIGNE;Non renseigné;1
CESSON-SEVIGNE;Patrimoine / Mémoire;3
CESSON-SEVIGNE;Religion;5
CESSON-SEVIGNE;Santé;10
CESSON-SEVIGNE;Social / Solidarité;33
CESSON-SEVIGNE;Sport;41
CESSON-SEVIGNE;Sécurité;2
CESSON-SEVIGNE;Économie / Entreprises;12
CESSON-SEVIGNE;Éducation;2
CESSON-SEVIGNE;Éducation / Formation;9
CHANTEPIE;Anciens combattants;1
CHANTEPIE;Autres;1
CHANTEPIE;Citoyenneté;3
CHANTEPIE;Culture;9
CHANTEPIE;Défense des droits;3
CHANTEPIE;Environnement;6
CHANTEPIE;Loisirs;6
CHANTEPIE;Patrimoine / Mémoire;3
CHANTEPIE;Religion;1
CHANTEPIE;Santé;2
CHANTEPIE;Social / Solidarité;18
CHANTEPIE;Sport;28
CHANTEPIE;Sécurité;2
CHANTEPIE;Économie / Entreprises;6
CHANTEPIE;Éducation;3
CHANTEPIE;Éducation / Formation;1
CHAPELLE-CHAUSSEE;Environnement;2
CHAPELLE-CHAUSSEE;Loisirs;1
CHAPELLE-CHAUSSEE;Religion;2
CHAPELLE-CHAUSSEE;Social / Solidarité;2
CHAPELLE-CHAUSSEE;Sport;2
CHAPELLE-DES-FOUGERETZ;Agriculture;1
CHAPELLE-DES-FOUGERETZ;Anciens combattants;1
CHAPELLE-DES-FOUGERETZ;Autres;1
CHAPELLE-DES-FOUGERETZ;Culture;3
CHAPELLE-DES-FOUGERETZ;Défense des droits;1
CHAPELLE-DES-FOUGERETZ;Environnement;2
CHAPELLE-DES-FOUGERETZ;International;1
CHAPELLE-DES-FOUGERETZ;Loisirs;4
CHAPELLE-DES-FOUGERETZ;Patrimoine / Mémoire;3
CHAPELLE-DES-FOUGERETZ;Religion;2
CHAPELLE-DES-FOUGERETZ;Santé;4
CHAPELLE-DES-FOUGERETZ;Social / Solidarité;7
CHAPELLE-DES-FOUGERETZ;Sport;5
CHAPELLE-THOUARAULT;Autres;2
CHAPELLE-THOUARAULT;Citoyenneté;1
CHAPELLE-THOUARAULT;Environnement;2
CHAPELLE-THOUARAULT;Patrimoine / Mémoire;1
CHAPELLE-THOUARAULT;Religion;2
CHAPELLE-THOUARAULT;Social / Solidarité;5
CHAPELLE-THOUARAULT;Sport;6
CHAPELLE-THOUARAULT;Économie / Entreprises;1
CHAPELLE-THOUARAULT;Éducation;2
CHARTRES-DE-BRETAGNE;Anciens combattants;1
CHARTRES-DE-BRETAGNE;Autres;4
CHARTRES-DE-BRETAGNE;Citoyenneté;5
CHARTRES-DE-BRETAGNE;Culture;5
CHARTRES-DE-BRETAGNE;Défense des droits;2
CHARTRES-DE-BRETAGNE;Environnement;4
CHARTRES-DE-BRETAGNE;Loisirs;4
CHARTRES-DE-BRETAGNE;Non renseigné;1
CHARTRES-DE-BRETAGNE;Patrimoine / Mémoire;3
CHARTRES-DE-BRETAGNE;Religion;1
CHARTRES-DE-BRETAGNE;Santé;2
CHARTRES-DE-BRETAGNE;Sciences / Recherche;1
CHARTRES-DE-BRETAGNE;Social / Solidarité;5
CHARTRES-DE-BRETAGNE;Sport;14
CHARTRES-DE-BRETAGNE;Sécurité;2
CHARTRES-DE-BRETAGNE;Économie / Entreprises;2
CHARTRES-DE-BRETAGNE;Éducation;2
CHAVAGNE;Culture;2
CHAVAGNE;Défense des droits;2
CHAVAGNE;Environnement;2
CHAVAGNE;Santé;1
CHAVAGNE;Social / Solidarité;7
CHAVAGNE;Sport;3
CHAVAGNE;Sécurité;1
CHAVAGNE;Éducation / Formation;2
CINTRE;Culture;2
CINTRE;Patrimoine / Mémoire;1
CINTRE;Religion;2
CINTRE;Santé;4
CINTRE;Social / Solidarité;5
CINTRE;Sport;3
CLAYES;Autres;1
CLAYES;Loisirs;1
CLAYES;Patrimoine / Mémoire;1
CLAYES;Social / Solidarité;2
CLAYES;Sport;3
CORPS-NUDS;Anciens combattants;1
CORPS-NUDS;Autres;1
CORPS-NUDS;Citoyenneté;1
CORPS-NUDS;Culture;2
CORPS-NUDS;Environnement;2
CORPS-NUDS;Patrimoine / Mémoire;1
CORPS-NUDS;Santé;1
CORPS-NUDS;Social / Solidarité;4
CORPS-NUDS;Sport;5
CORPS-NUDS;Économie / Entreprises;1
CORPS-NUDS;Éducation / Formation;1
GEVEZE;Autres;1
GEVEZE;Citoyenneté;1
GEVEZE;Culture;1
GEVEZE;Défense des droits;2
GEVEZE;Environnement;2
GEVEZE;International;1
GEVEZE;Loisirs;1
GEVEZE;Patrimoine / Mémoire;2
GEVEZE;Santé;3
GEVEZE;Social / Solidarité;1
